CSA2010,eattend15,mattend15,hsattend15,aastud15,wstud15,hstud15,abse15,absmd15,abshs15,drop15,compl15,sclsw15,sclemp15,eenrol15,menrol15,hsenrol15,pmath315,pread315,pmath515,pread515,pmath815,pread815
Community Statistical Areas (CSAs),Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Percent of Students that are African American,Percent of Students that are White (non-Hispanic),Percent of Students that are Hispanic,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),High School Dropout/Withdrawal Rate,High School Completion Rate,Percent of Students Switching Schools within School Year,Percentage of Population aged 16-19 in School and/or Employed,Number of Students Officially Enrolled in 1st - 5th Grade,Number of Students Officially Enrolled in 6th - 8th Grade,Number of Students Officially Enrolled in 9th - 12th Grade,Percentage of 3rd Grade Students who met or exceeded PARCC Math,Percentage of 3rd Grade Students who met or exceeded PARCC Reading,Percentage of 5th Grade Students who met or exceeded PARCC Math,Percentage of 5th Grade Students who met or exceeded PARCC Reading,Percentage of 8th Grade Students who met or exceeded PARCC Math,Percentage of 8th Grade Students who met or exceeded PARCC Reading
Allendale/Irvington/S. Hilton,940,554,735,93.2705248990578,3.72364288918797,1.88425302826379,21.3829787234042,17.6895306859205,40.1360544217687,3.53741496598639,77.6470588235294,7.63594292325491,96.1155378486056,909,540,734,10.3658536585366,12.8048780487805,4.8780487804878,6.70731707317073,4.96894409937888,6.3953488372093
Beechfield/Ten Hills/West Hills,634,331,442,93.6034115138592,2.84292821606254,2.41648898365316,11.0410094637223,15.7099697885196,33.4841628959276,2.03619909502262,86.7924528301886,5.64320388349514,66.5441176470588,608,324,437,15.3846153846154,27.3504273504274,9.25925925925926,15.7407407407407,3.33333333333333,20.7207207207207
Belair-Edison,1148,665,935,96.2882096069868,1.38282387190684,1.63755458515283,19.9477351916376,14.8872180451127,39.8930481283422,3.31550802139037,80,8.44712607176881,87.168610816543,1125,649,962,16.0194174757282,16.4251207729469,5.60747663551402,7.981220657277,6.13207547169811,8.96860986547085
Brooklyn/Curtis Bay/Hawkins Point,1122,498,547,54.5916012921089,27.5496077526534,15.6898938624826,23.0837789661319,25.9036144578313,43.144424131627,8.22669104204753,69.4117647058823,7.63329497506712,74.2610837438424,1059,470,539,11.2676056338028,7.58293838862559,9.67741935483871,11.6129032258065,5.3030303030303,8.69565217391304
Canton,107,33,29,18.9349112426035,51.4792899408284,25.4437869822485,3.73831775700934,0,31.0344827586206,10.3448275862068,75,3.82775119617224,100,104,32,29,56.25,56.25,28.5714285714286,14.2857142857143,77.7777777777778,66.6666666666667
Cedonia/Frankford,1339,744,1075,89.5503483217226,3.35655478150728,2.02659911336288,13.0694548170276,10.0806451612903,34.5116279069767,2.04651162790697,85.7707509881422,5.68643379366368,76.5263157894737,1280,727,1069,15.1394422310757,16.2698412698413,12.5541125541126,11.6883116883117,2.55102040816327,10.6976744186047
Cherry Hill,856,394,462,95.7943925233644,1.16822429906542,2.51168224299065,26.9859813084112,21.3197969543147,48.9177489177489,5.41125541125541,66.9902912621359,12.2133599202392,70.8074534161491,828,379,459,10.6918238993711,13.2075471698113,0.617283950617284,0.617283950617284,2.45901639344262,7.03125
Chinquapin Park/Belvedere,417,213,260,87.5280898876404,6.17977528089887,4.8314606741573,13.9088729016786,15.9624413145539,30.7692307692307,1.92307692307692,87.037037037037,4.3103448275862,76.1273209549072,408,206,256,16.1764705882353,26.4705882352941,11.4285714285714,18.5714285714286,1.96078431372549,20
Claremont/Armistead,740,361,394,56.1204013377926,16.1872909698996,25.5518394648829,12.9729729729729,14.9584487534626,38.8324873096446,2.79187817258883,77.5280898876404,4.2612064194798,59.9562363238512,702,338,392,18.8679245283019,19.4968553459119,9.83606557377049,11.4754098360656,4.76190476190476,14.6788990825688
Clifton-Berea,748,379,496,97.4121996303142,1.17067159581022,1.23228589032655,17.6470588235294,24.5382585751978,46.9758064516129,4.83870967741935,63.8095238095238,10.5907397551889,75.3623188405797,731,374,522,6.41025641025641,10.3225806451613,0.735294117647059,4.41176470588235,0,3.125
Cross-Country/Cheswolde,214,133,139,79.2181069958847,10.0823045267489,6.79012345679012,6.54205607476635,17.2932330827067,22.3021582733812,2.15827338129496,95,2.82685512367491,95.7276368491322,200,128,129,36.3636363636364,41.1764705882353,15.3846153846154,25.6410256410256,8,31.25
Dickeyville/Franklintown,229,87,130,97.7578475336322,1.12107623318385,0.672645739910313,17.0305676855895,9.19540229885057,36.1538461538461,3.07692307692307,78.9473684210526,5.3030303030303,88.5496183206107,213,81,127,26.8292682926829,31.7073170731707,8.88888888888889,6.66666666666667,0,13.6363636363636
Dorchester/Ashburton,656,344,478,97.2954699121027,0.676132521974306,1.5551048005409,19.0548780487804,20.8695652173913,35.3556485355648,2.30125523012552,79.6875,7.31850117096018,95.1030927835051,628,333,470,15.1785714285714,29.4642857142857,9.43396226415094,12.2641509433962,4.12371134020619,7.84313725490196
Downtown/Seton Hill,120,68,62,77.2,12.8,4.4,21.6666666666666,17.6470588235294,45.1612903225806,6.4516129032258,90,7.53424657534246,91.2621359223301,113,63,66,15,10.5263157894737,0,5.55555555555556,9.09090909090909,23.0769230769231
Edmondson Village,471,269,425,98.2832618025751,0.600858369098712,1.03004291845493,14.0127388535031,15.2416356877323,40.4705882352941,4,78.0701754385964,7.75988286969253,82.3255813953488,465,261,415,12.8712871287129,19,10.3896103896104,7.79220779220779,5.40540540540541,9.87654320987654
Fells Point,224,67,96,22.7390180878552,27.906976744186,46.5116279069767,7.58928571428571,16.4179104477611,44.7916666666666,5.20833333333333,72.7272727272727,2.40174672489082,71.6981132075472,210,63,94,14.8936170212766,27.6595744680851,13.953488372093,25.5813953488372,33.3333333333333,23.8095238095238
Forest Park/Walbrook,623,325,455,97.2915181753385,0.855310049893086,1.63934426229508,12.199036918138,16,37.8021978021978,1.75824175824175,75.2808988764044,7.49690210656753,86.1333333333333,596,312,450,15.625,24.21875,14.8936170212766,8.51063829787234,5.31914893617021,8.65384615384615
Glen-Fallstaff,648,395,462,80.5980066445182,4.85049833887043,13.0232558139534,13.5802469135802,18.4810126582278,32.2510822510822,0.865800865800865,82.0754716981132,5.92592592592592,85.679012345679,624,382,445,21.6417910447761,23.8805970149254,11.4942528735632,16.0919540229885,4.42477876106195,17.5572519083969
Greater Charles Village/Barclay,390,186,231,82.5278810408921,8.17843866171003,5.70012391573729,12.8205128205128,15.5913978494623,39.8268398268398,2.16450216450216,83.3333333333333,7.51269035532994,97.5261655566128,379,183,240,21.4285714285714,22.8571428571429,16.3934426229508,13.1147540983607,5.66037735849057,17.4603174603175
Greater Govans,699,389,512,96.3125,2.0625,0.9375,13.4477825464949,12.0822622107969,39.6484375,2.734375,81.6513761467889,7.29166666666666,68.5758513931889,690,384,511,14.4827586206897,18.6206896551724,5.64516129032258,12.0967741935484,3.96039603960396,8.33333333333333
Greater Mondawmin,610,273,445,98.117469879518,0.903614457831325,0.677710843373493,16.3934426229508,16.4835164835164,37.752808988764,2.24719101123595,75,6.55948553054662,69.7976878612717,592,263,434,17.9487179487179,24.7863247863248,11.9266055045872,8.25688073394496,4.34782608695652,3.8961038961039
